request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"To maintain your priority of retirement_investment (also emergency_savings), the recommendation is full_payment (affordable_now) using payment_plan 2026-04-03:22200."
request_67,357.49,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"To maintain your priority of education (also emergency_savings), the recommendation is wait (affordable_later) using payment_plan 2024-11-15:2094."
request_68,1407.75,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"To maintain your priority of healthcare (also family_support), the recommendation is installments (affordable_with_plan) using payment_plan 2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,"To maintain your priorities of emergency_savings and housing, a single full payment of €529.10 on 2026-01-04 is recommended, as this amount is within your safe-to-pay limit of €529.10 and requires no spending changes."
request_70,53163.72,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"To maintain your priorities of debt_repayment and emergency_savings, it is recommended to wait and make a single payment of INR 243900.00 on 2025-02-15, as your current amount safe to pay of INR 53163.72 is insufficient now but the plan completes on time with no spending changes needed."
request_71,887130.76,not_affordable,not_recommended,none,,none,"To maintain your priority of emergency_savings (also travel), this request is not_affordable, so the recommendation is not_recommended with payment_plan none and spending_changes_needed none."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"To maintain your priority of education (also debt_repayment), the recommendation is full_payment (affordable_now) using payment_plan 2026-07-05:11330."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"To maintain your priority of emergency_savings (also housing), the recommendation is full_payment (affordable_now) using payment_plan 2023-01-20:71400."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"To maintain your priorities of retirement_investment and emergency_savings, a single full payment of ZAR 5010.00 on 2025-08-04 is recommended, as this amount is within your safe-to-pay limit of ZAR 5010 and requires no spending changes."
request_75,1346,not_affordable,not_recommended,none,,none,"To maintain your priorities of retirement_investment and emergency_savings, this request cannot be fulfilled, as no viable payment plan exists and the maximum amount safe to pay is ZAR 1346, leaving the request unaffordable with no payments scheduled."
request_76,212,not_affordable,not_recommended,none,,none,"This request cannot be fulfilled, as no viable payment plan exists within your current financial means of $212. To maintain your priorities of education and emergency_savings, no payment option has been recommended at this time."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"To maintain your priority of healthcare (also family_support), the recommendation is full_payment (affordable_now) using payment_plan 2025-11-05:60700."
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"To maintain your priority of emergency_savings (also travel), the recommendation is full_payment (affordable_now) using payment_plan 2025-10-02:50200."
request_79,310.5,not_affordable,not_recommended,none,,none,"To maintain your priorities of emergency_savings and travel, no payment plan could be recommended, as the available amount safe to pay of EUR 310.5 does not support any viable payment arrangement for this request."
request_80,10357,not_affordable,not_recommended,none,,none,"To maintain your priority of education (also debt_repayment), this request is not_affordable, so the recommendation is not_recommended with payment_plan none and spending_changes_needed none."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"To maintain your priority of emergency_savings (also housing), the recommendation is full_payment (affordable_now) using payment_plan 2026-07-03:2076."
request_82,0,not_affordable,not_recommended,none,,none,"To maintain your priorities of emergency_savings and housing, no funds are currently available for this request, as your amount safe to pay is $0 and no viable payment plan could be established."
request_83,7438,not_affordable,not_recommended,none,,none,"To maintain your priorities of education and family_support, no payment plan could be recommended, as the available amount of 7438 INR is insufficient to fulfill this request with any viable payment option."
request_84,33480.71,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"To maintain your priority of emergency_savings (also travel), the recommendation is wait (affordable_later) using payment_plan 2026-05-15:95400."
request_85,733034.61,not_affordable,not_recommended,none,,none,"To maintain your priorities of education and emergency_savings, this request cannot be fulfilled, as no viable payment plan exists despite a safe-to-pay balance of 733034.61 IDR."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"To maintain your priority of healthcare (also family_support), the recommendation is full_payment (affordable_now) using payment_plan 2025-08-03:46300."
request_87,23233,not_affordable,not_recommended,none,,none,"To maintain your priorities of emergency_savings and travel, no payment plan has been recommended, as the request cannot be fulfilled within your safe-to-pay amount of INR 23233 and no affordable payment option is available."
request_88,11045.66,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"To maintain your priorities of debt_repayment and emergency_savings, this plan spreads your payments across three installments of ZAR 9045.23 on 2024-06-14, 2024-07-15, and 2024-08-15, keeping each payment within your safe-to-pay amount of ZAR 11045.66 with no spending changes needed."
request_89,9951873.65,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,none,"To maintain your priority of emergency_savings (also housing), the recommendation is installments (affordable_with_plan) using payment_plan 2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"To maintain your priorities of retirement_investment and emergency_savings, a single full payment of ZAR 2560.00 on 2026-07-06 is recommended, as this matches exactly your amount safe to pay and requires no spending changes."
request_91,436.94,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"To maintain your priorities of emergency_savings and housing, it is recommended to wait and make a single payment of €1927.20 on 2024-11-15, as your current amount safe to pay of €436.94 is insufficient at this time but the full payment will be achievable by the due date without any spending changes."
request_92,34034,not_affordable,not_recommended,none,,none,"To maintain your priorities of education and family_support, no payment plan could be recommended for this request, as only ZAR 34034 is safely available and no viable payment option exists to complete the payment."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"To maintain your priority of retirement_investment (also emergency_savings), the recommendation is full_payment (affordable_now) using payment_plan 2026-04-07:1729.20."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"To maintain your priorities of retirement_investment and emergency_savings, a single full payment of EUR 572.00 on 2024-12-04 is recommended, as it stays within your safe-to-pay amount of EUR 572 and requires no spending changes."
request_95,15759.72,not_affordable,not_recommended,none,,none,"To maintain your priority of healthcare (also family_support), this request is not_affordable, so the recommendation is not_recommended with payment_plan none and spending_changes_needed none."
request_96,75642.67,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"To maintain your priorities of education and debt_repayment, this plan spreads payments across three installments of INR 31269.33 each (on 2026-01-10, 2026-02-09, and 2026-03-11), keeping individual payments within a manageable range despite the total exceeding your amount safe to pay of INR 75642.67, with no spending changes required."
request_97,2295.65,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"To maintain your priorities of debt_repayment and emergency_savings, this plan structures your payment across three installments of ZAR 8145.28 on 2024-03-19, 2024-04-19, and 2024-05-20, keeping each payment manageable while ensuring the full amount is covered within the deadline."
request_98,6314.21,affordable_later,wait,2025-09-15:27148,2025-09-15,none,"To maintain your priority of emergency_savings (also travel), the recommendation is wait (affordable_later) using payment_plan 2025-09-15:27148."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"To maintain your priority of healthcare (also retirement_investment), the recommendation is full_payment (affordable_now) using payment_plan 2026-07-04:18062."
request_100,28061.95,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"To maintain your priorities of emergency_savings and housing, this plan spreads the total across three installments of ZAR 12866.19 on 2024-06-13, 2024-07-14, and 2024-08-14, keeping each payment manageable relative to your safe-to-pay amount of ZAR 28061.95 with no spending changes needed."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"To maintain your priority of education (also family_support), the recommendation is full_payment (affordable_now) using payment_plan 2025-11-03:143500."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"To maintain your priorities of retirement_investment and emergency_savings, this plan spreads the cost into three installments of €594.88 on 2026-04-05, €594.88 on 2026-05-05, and €594.88 on 2026-06-04, keeping each payment manageable without requiring any spending changes."
request_103,4155.21,not_affordable,not_recommended,none,,none,"To maintain your priorities of education and emergency_savings, no payment plan could be recommended, as the requested amount exceeds what is currently safe to pay with an available balance of ₹4155.21."
request_104,819,not_affordable,not_recommended,none,,none,"To maintain your priorities of healthcare and family_support, no payment plan can be recommended at this time, as only ZAR 819 is safe to pay and no viable payment option is available to complete this request."
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"To maintain your priority of emergency_savings (also travel), the recommendation is full_payment (affordable_now) using payment_plan 2026-06-08:53500."
request_106,495.24,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"To maintain your priorities of debt_repayment and emergency_savings, it is recommended you wait and make a single payment of €2207.70 on 2025-02-15, as only €495.24 is currently safe to pay and no spending changes are needed."
request_107,245,not_affordable,not_recommended,none,,none,"To maintain your priorities of education and debt_repayment, no payment plan could be recommended, as only €245 is safe to pay and no viable payment option was identified for this request."
request_108,2633,not_affordable,not_recommended,none,,none,"To maintain your priorities of healthcare and retirement_investment, this request cannot be fulfilled, as no viable payment plan exists and the only funds safely available are ZAR 2633 with no payments scheduled."
request_109,630.76,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"To maintain your priorities of emergency_savings and travel, this plan spreads your payments into three installments of €645.98 on 2024-03-18, 2024-04-18, and 2024-05-19, keeping each payment as manageable as possible while completing the request by the deadline with no spending changes needed."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"To maintain your priority of retirement_investment (also emergency_savings), the recommendation is installments (affordable_with_plan) using payment_plan 2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"To maintain your priority of retirement_investment (also emergency_savings), the recommendation is full_payment (affordable_now) using payment_plan 2026-04-03:16625000."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,"To maintain your priorities of education and debt_repayment, a single full payment of EUR 271.70 on 2024-06-05 is recommended, as this matches exactly your amount safe to pay with no spending changes needed."
request_113,26643.3,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"To maintain your priority of emergency_savings (also travel), the recommendation is wait (affordable_later) using payment_plan 2026-09-15:36500."
request_114,60733.62,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-15,stop:event_10559,"To maintain your priority of emergency_savings (also travel), the recommendation is full_payment (affordable_with_plan) after stop:event_10559 using payment_plan 2026-01-04:65300."
request_115,15202.54,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"To maintain your priority of debt_repayment (also emergency_savings), the recommendation is wait (affordable_later) using payment_plan 2024-11-15:80500."
request_116,10633.01,not_affordable,not_recommended,none,,none,"To maintain your priority of education (also debt_repayment), this request is not_affordable, so the recommendation is not_recommended with payment_plan none and spending_changes_needed none."
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"To maintain your priorities of healthcare and retirement_investment, a single full payment of €880.00 on 2026-07-05 is recommended, which aligns exactly with your amount safe to pay and requires no spending changes."
request_118,369.92,not_affordable,not_recommended,none,2025-02-15,none,"To maintain your priorities of emergency_savings and housing, this request cannot be fulfilled, as no viable payment plan exists and the available safe amount of EUR 369.92 is insufficient to complete the payment."
request_119,9690,not_affordable,not_recommended,none,,none,"To maintain your priorities of education and family_support, this request cannot be fulfilled, as no viable payment plan exists and the payment option is not recommended within your safe-to-pay limit of INR 9690."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"To maintain your priority of retirement_investment (also emergency_savings), the recommendation is full_payment (affordable_now) using payment_plan 2026-04-06:7714000."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,"To maintain your priorities of education and emergency savings, a single full payment of $633.60 on 2024-03-03 is recommended, which aligns exactly with your amount safe to pay of $633.60 and requires no spending changes."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"To maintain your priority of retirement_investment (also emergency_savings), the recommendation is installments (affordable_with_plan) using payment_plan 2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33."
request_123,194095,not_affordable,not_recommended,none,,none,"To maintain your priority of education (also emergency_savings), this request is not_affordable, so the recommendation is not_recommended with payment_plan none and spending_changes_needed none."
request_124,1417.01,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"To maintain your priorities of debt_repayment and emergency_savings, this plan spreads your payments into three installments of €1076.12 on 2024-06-11, 2024-07-12, and 2024-08-12 — each well within your safe-to-pay amount of €1417.01 and requiring no spending changes."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"To maintain your priorities of emergency_savings and travel, a single full payment of ZAR 6468.00 on 2025-11-06 is recommended, as this amount is fully within your safe-to-pay limit of ZAR 6468 and requires no spending changes."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"To maintain your priority of retirement_investment (also emergency_savings), the recommendation is full_payment (affordable_now) using payment_plan 2026-07-03:159600."
request_127,1141,not_affordable,not_recommended,none,,none,"To maintain your priorities of emergency_savings and housing, no payment plan could be recommended, as only ZAR 1141 is safely available and no viable payment arrangement exists for this request."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"To maintain your priorities of education and family_support, a single full payment of ZAR 25168.00 on 2025-02-07 is recommended, which is within your safe-to-pay amount of ZAR 25168 and requires no spending changes."
request_129,142.32,not_affordable,not_recommended,none,,none,"To maintain your priorities of retirement_investment and emergency_savings, this request cannot be fulfilled, as no payment plan is available and the only funds safely accessible are $142.32."
request_130,400.45,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"To maintain your priority of education (also emergency_savings), the recommendation is wait (affordable_later) using payment_plan 2025-02-15:1978.80."
request_131,1187.03,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"To maintain your priorities of healthcare and family_support, this plan spreads your payment across three installments of $643.14 on 2025-05-06, 2025-06-03, and 2025-07-01, keeping each payment manageable without requiring any spending changes."
request_132,334.89,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"To maintain your priorities of emergency_savings and travel, it is recommended you wait and make a single payment of $379.86 on 2026-01-15, as your current amount safe to pay of $334.89 is insufficient now but will be ready in time to meet the deadline without any spending changes."
request_133,750952,not_affordable,not_recommended,none,,none,"To maintain your priority of debt_repayment (also emergency_savings), this request is not_affordable, so the recommendation is not_recommended with payment_plan none and spending_changes_needed none."
request_134,5169734.56,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"To maintain your priority of education (also debt_repayment), the recommendation is wait (affordable_later) using payment_plan 2025-10-15:21831000."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,"To maintain your priorities of healthcare and retirement_investment, a single full payment of $304.80 on 2026-07-06 is recommended, which aligns exactly with your amount safe to pay of $304.80 and requires no spending changes."
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"To maintain your priorities of healthcare and family_support, a single full payment of $560.40 on 2024-06-03 is recommended, which is fully covered by your safe-to-pay amount of $560.40 with no spending changes needed."
request_137,30518.11,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"To maintain your priority of emergency_savings (also housing), the recommendation is wait (affordable_later) using payment_plan 2026-01-15:80100."
request_138,899.84,affordable_with_plan,partial_payment,2026-04-07:899.84|2026-04-15:357.10,2026-04-15,none,"To maintain your priorities of retirement_investment and emergency_savings, a partial payment plan has been structured so that you pay €899.84 on 2026-04-07 and €357.10 on 2026-04-15, keeping your immediate outlay within your safe-to-pay limit while completing the request on time with no spending changes needed."
request_139,1378.35,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,"To maintain your priority of education (also emergency_savings), the recommendation is installments (affordable_with_plan) using payment_plan 2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88."
request_140,2210.46,not_affordable,not_recommended,none,,none,"To maintain your priorities of education and debt_repayment, this request cannot be fulfilled, as no viable payment plan exists and your amount safe to pay of ZAR 2210.46 does not support any payment option under the current plan (""none"")."
request_141,26021.08,not_affordable,not_recommended,none,,none,"To maintain your priorities of emergency_savings and travel, no payment plan could be recommended, as the requested amount exceeds what is safely payable and no viable payment option was identified within your current financial profile."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"To maintain your priority of retirement_investment (also emergency_savings), the recommendation is full_payment (affordable_now) using payment_plan 2024-12-05:1263.60."
request_143,2483.55,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"To maintain your priority of education (also debt_repayment), the recommendation is wait (affordable_later) using payment_plan 2025-07-15:12584."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,"To maintain your priorities of education and debt_repayment, a single full payment of $233.34 on 2026-07-04 is recommended, which aligns exactly with your amount safe to pay and requires no spending changes."
request_145,0,not_affordable,not_recommended,none,,none,"To maintain your priorities of emergency_savings and housing, no funds are currently available for this request, as your amount safe to pay is ₹0 and no viable payment plan could be established."
request_146,18761.59,not_affordable,not_recommended,none,,none,"To maintain your priorities of education and family_support, no payment plan can be recommended at this time, as the available safe amount of 18761.59 INR does not support fulfilling this request under any viable payment option."
request_147,53,not_affordable,not_recommended,none,,none,"To maintain your priorities of retirement_investment and emergency_savings, this request cannot be fulfilled, as only EUR 53 is safely available and no viable payment plan exists to complete it."
request_148,8468.75,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,"To maintain your priorities of education and emergency_savings, this plan spreads your payments across three installments of ZAR 7710.56 on 2024-06-14, 2024-07-15, and 2024-08-15, each staying within your safe-to-pay amount of ZAR 8468.75 and requiring no spending changes."
request_149,24225.02,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"To maintain your priorities of healthcare and family_support, this installment plan spreads your payments across three equal installments of ZAR 12706.03 on 2025-11-18, 2025-12-16, and 2026-01-13, ensuring the total obligation is met without disrupting your essential commitments."
request_150,296.62,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"To maintain your priorities of emergency_savings and travel, this plan spreads the cost into three installments of €171.98 on 2026-01-06, 2026-02-05, and 2026-03-07, keeping each payment well within your safe-to-pay amount of €296.62 with no spending changes needed."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"To maintain your priority of debt_repayment (also emergency_savings), the recommendation is full_payment (affordable_now) using payment_plan 2024-09-03:26999000."
